Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,"Korea, Dem. People's Rep.",PRK,40.4530048,..,..,..,..,40.67379917,..,..,..,..,38.71368093,44.5453414,45.41253543,49.82200792,49.15322338,47.15602971,42.7322875,42.74423807,44.30760137,44.32957478,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,"Korea, Rep.",KOR,24.22215497,..,..,..,..,23.59097074,..,..,..,..,22.85407832,25.45681317,25.79816942,27.53881372,28.1810993,26.97657307,27.80560684,26.88210754,27.43635201,27.44033926,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Kuwait,KWT,63.06021564,..,..,..,..,65.2862992,..,..,..,..,66.2493716,67.97715751,69.2648667,66.7946724,57.02947492,66.14461017,61.00890885,63.39850808,61.4947645,60.96648013,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Kyrgyz Republic,KGZ,24.55999538,..,..,..,..,22.57651105,..,..,..,..,23.28809126,27.72189651,27.65705871,28.77509614,26.29792566,25.33994116,24.71003894,24.09670211,24.22386133,24.07288994,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Lao PDR,LAO,25.38939064,..,..,..,..,25.8689361,..,..,..,..,26.37801788,21.75888724,22.99309691,24.66969698,21.54907826,20.78189635,23.40354416,19.26088509,20.50574635,20.54733513,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Latvia,LVA,17.24708544,..,..,..,..,17.02533531,..,..,..,..,18.08881031,15.79757359,15.24810165,15.55702788,16.19572343,13.78739916,12.896183,11.78077521,12.208934,12.01165835,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Lebanon,LBN,27.94067585,..,..,..,..,28.8068316,..,..,..,..,32.37350564,30.2100053,29.24608686,31.07383788,31.01273397,31.74939856,29.33919611,29.10177799,29.3218817,28.96029994,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Lesotho,LSO,30.37208717,..,..,..,..,27.37260881,..,..,..,..,32.62987189,32.67711249,32.54599663,31.82818232,32.68274398,32.06282777,31.39956031,29.79040935,28.73518151,27.52281327,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Liberia,LBR,50.11199831,..,..,..,..,51.11912488,..,..,..,..,44.46963149,51.31718502,49.16699824,44.1458674,45.00740159,55.99663296,54.71186915,48.31232523,50.40175469,50.59973692,..
